Barrio,cadaveres,labor_preventiva,incendios_estructurales,incendios_residenciales,otros,control_avispas,incendios_forestales,accidentes_transito,corto_circuito,traslado_heridos,conato_incendio,emergencia_no_atendida,rescate_personas,deslizamientos,falsas_alarmas,rescate _animales,escape_gas_natural,incendios_automotor,derrumbre_estructural,incendios_basureros,escape_gas_propano,inundaciones,incendios_industriales,explosion_transformadores,quemas_controladas,incendios_comerciales,otra_explosion,incendios_edificaciones,emergencias_materiales_peligrosos,corte_anillos,escape_gas_sistema_vehicular,explosion_cilindros,rescate_personas_ascensor,rescate_personas_suicidios,traslados_muertos,escape_cloro,busqueda_ahogado,explosion_polvorerias,total_emergencias
142,0,1,0,0,3,10,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21
143,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
145,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
146,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
147,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
148,1,19,0,7,9,65,5,6,1,0,5,0,5,0,1,21,4,5,0,4,1,0,0,0,2,1,0,1,0,0,2,0,0,1,0,0,0,0,166
149,1,14,0,0,9,19,6,0,0,0,0,0,1,0,0,5,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
150,0,70,1,12,31,133,39,8,7,9,16,3,17,1,4,50,27,21,0,14,1,3,1,2,1,3,0,0,2,0,2,0,2,0,0,1,0,0,481
151,0,9,0,0,4,5,14,1,3,1,2,0,3,1,0,2,0,6,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
152,0,10,0,1,11,50,32,1,1,3,5,3,3,0,0,11,2,4,0,4,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,148
153,1,5,0,1,1,4,7,0,0,1,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
154,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
155,0,10,0,4,3,9,9,2,0,1,1,0,1,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50
156,0,4,0,0,1,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
157,0,0,0,0,4,16,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27
158,0,5,0,0,1,8,4,0,0,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26
159,0,5,0,3,3,6,11,0,0,0,2,1,2,1,0,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
160,0,0,1,2,2,3,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16
161,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
162,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
163,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
